Res.,Cartel,Oponente,Método,Evento,Data,Round,Tempo,Local,Notas
Vitória,17-4, Randa Markos,Decisão (unânime),UFC 239: Jones vs. Santos,06/07/2019,3,5:00," Las Vegas, Nevada",
Derrota,16-4, Nina Ansaroff,Decisão (unânime),UFC 231: Holloway vs. Ortega,08/12/2018,3,5:00," Toronto, Ontario",
Vitória,16-3, Carla Esparza,Decisão (dividida),UFC 225: Whittaker vs. Romero II,09/06/2018,3,5:00," Chicago, Illinois",
Derrota,15-3, Jéssica Andrade,Decisão (unânime),UFC Fight Night: Saint Preux vs. Okami,23/09/2017,3,5:00, Saitama,Luta da Noite.
Vitória,15-2, Karolina Kowalkiewicz,Finalização (mata leão),UFC 212: Aldo vs. Holloway,03/06/2017,1,3:03, Rio de Janeiro,Performance da Noite.
Vitória,14-2, Cortney Casey,Decisão (unânime),UFC Fight Night: Nogueira vs. Bader II,19/11/2016,3,5:00, São Paulo,
Derrota,13-2, Joanna Jedrzejczyk,Decisão (unânime),The Ultimate Fighter 23 Finale,08/07/2016,5,5:00," Las Vegas, Nevada",Pelo Cinturão Peso Palha Feminino do UFC; Luta da Noite.
Vitória,13-1, Jessica Aguilar,Decisão (unânime),UFC 190: Rousey vs. Correia,01/08/2015,3,5:00, Rio de Janeiro,Pela vaga de desafiante n°1.
Derrota,12-1, Joanna Jedrzejczyk,Decisão (dividida),UFC on Fox: dos Santos vs. Miocic,13/12/2014,3,5:00," Phoenix, Arizona",
Vitória,12-0, Tina Lahdemaki,Decisão (unânime),UFC Fight Night: Cerrone vs. Miller,16/07/2014,3,5:00," Atlantic City, New Jersey",Estréia no UFC.
Vitória,11-0, Ayaka Hamasaki,Nocaute Técnico (socos),Invicta FC 6: Coenen vs. Cyborg,13/07/2013,3,3:58," Kansas City, Missouri",Estréia no Invicta FC; Pela vaga de desafiante n°1.
Vitória,10-0,  Hérica Tibúrcio,Decisão (unânime),Max Sport 13.2,11/05/2013,3,5:00, São Paulo,Peso Casado (121 lbs).
Vitória,9-0, Adriana Vieira,Nocaute Técnico (socos),Shooto Brazil 34,21/09/2012,1,1:35, Brasília,Luta nos Moscas.
Vitória,8-0, Valérie Létourneau,Decisão (dividida),Wreck MMA: Road to Glory,20/04/2012,3,5:00," Gatineau, Quebec",Peso Casado (130 lbs).
Vitória,7-0, Kalindra Faria,Finalização (chave de braço),Hard Fight Championship,25/09/2010,1,1:10, Piracicaba,
Vitória,6-0, Alessandra Silva,Finalização (chave de braço),Expo Fighting Championship: Day Two,22/08/2010,1,N/A, Sorocaba,
Vitória,5-0, Ariane Monteiro,Finalização (mata leão),Itu Fight Championship,04/06/2010,1,2:08, Itu,
Vitória,4-0, Davina Maciel,Finalização (chave de braço),Vision Fight 1,20/12/2009,1,1:26, Boa Vista,
Vitória,3-0, Aline Nery,Decisão (unânime),Shooto Brazil 14,28/11/2009,3,5:00, Rio de Janeiro,
Vitória,2-0, Juliana de Sousa,Finalização (chave de braço),Watch Out Combat Show 4,25/06/2009,1,1:29, Rio de Janeiro,
Vitória,1-0, Elaine Leite,Finalização (chave de braço),Force Fighting Championship 1,05/06/2008,1,0:17, Aparecida,
