Res.,Cartel,Oponente,Método,Evento,Data,Round,Tempo,Local,Notas
Derrota,21-4, Khabib Nurmagomedov,Finalização (mata leão),UFC 229: Khabib vs. McGregor,06/10/2018,4,3:03," Las Vegas, Nevada",Pelo Cinturão Peso Leve do UFC; Foi suspenso por 6 meses por confusão generalizada pós luta.
Vitória,21-3, Eddie Alvarez,Nocaute (socos),UFC 205: Alvarez vs. McGregor,12/11/2016,2,3:04," Nova Iorque, Nova Iorque",Ganhou o Cinturão Peso Leve do UFC; Performance da Noite; Tornou-se o primeiro lutador a ter dois cinturões de categorias diferentes ao mesmo tempo no UFC; Foi destituído devido a inatividade.
Vitória,20-3, Nate Diaz,Decisão (majoritária),UFC 202: Diaz vs. McGregor II,20/08/2016,5,5:00," Las Vegas, Nevada",Luta nos Meio Médios; Luta da Noite.
Derrota,19-3, Nate Diaz,Finalização (mata leão),UFC 196: McGregor vs. Diaz,05/03/2016,2,4:12," Las Vegas, Nevada",Estreia nos Meio Médios; Luta da Noite.
Vitória,19-2, José Aldo,Nocaute (soco),UFC 194: Aldo vs. McGregor,12/12/2015,1,0:13," Las Vegas, Nevada",Ganhou e unificou o Cinturão Peso Pena do UFC; Quebrou o recorde para o nocaute mais rápido em lutas pelo cinturão; Quebrou o recorde de maior número de nocautes no Peso Pena (6); Performance da Noite.
Vitória,18-2, Chad Mendes,Nocaute Técnico (socos),UFC 189: McGregor vs. Mendes,11/07/2015,2,4:57," Las Vegas, Nevada",Ganhou o Cinturão Peso Pena Interino do UFC; Performance da Noite.
Vitória,17-2, Dennis Siver,Nocaute Técnico (socos e cotoveladas),UFC Fight Night: McGregor vs. Siver,18/01/2015,2,1:52," Boston, Massachusetts",Performance da Noite.
Vitória,16-2, Dustin Poirier,Nocaute Técnico (socos),UFC 178: Johnson vs. Cariaso,27/09/2014,1,1:46," Las Vegas, Nevada",Performance da Noite.
Vitória,15-2, Diego Brandão,Nocaute Técnico (socos),UFC Fight Night: McGregor vs. Brandão,19/07/2014,1,4:05, Dublin,Performance da Noite.
Vitória,14-2, Max Holloway,Decisão (unânime),UFC Fight Night: Shogun vs. Sonnen,17/08/2013,3,5:00," Boston, Massachusetts",
Vitória,13-2, Marcus Brimage,Nocaute Técnico (socos),UFC on Fuel TV: Mousasi vs. Latifi,06/04/2013,1,1:08, Estocolmo,Estreia no UFC; Retornou aos Penas; Nocaute da Noite.
Vitória,12-2, Ivan Buchinger,Nocaute (soco),Cage Warriors 51,31/12/2012,1,3:40, Dublin,Estreia nos Leves; Ganhou o Cinturão Peso Leve do Cage Warriors.
Vitória,11-2, Dave Hill,Finalização (mata leão),Cage Warriors 47,02/06/2012,2,4:10, Dublin,Ganhou o Cinturão Peso Pena do Cage Warriors.
Vitória,10-2, Steve O'Keefe,Nocaute Técnico (cotoveladas),Cage Warriors 45,18/02/2012,1,1:33, Kentish Town,
Vitória,9-2, Aaron Jahnsen,Nocaute Técnico (socos),Cage Warriors: Fight Night 2,08/09/2011,1,3:25, Amman,
Vitória,8-2, Artur Sowinski,Nocaute Técnico (socos),Clash of the Giants,11/06/2011,2,1:12, Portlaoise,
Vitória,7-2, Paddy Doherty,Nocaute (socos),Immortal Fighting Championship 4,16/04/2011,1,0:05, Dublin,
Vitória,6-2, Mike Wood,Nocaute (socos),CC 8 - Fields vs. Redmond,12/03/2011,1,0:16, Dublin,
Vitória,5-2, Hugh Brady,Nocaute Técnico (socos),Chaos Fighting Championship 8,12/02/2011,1,2:30, Derry,
Derrota,4-2, Joseph Duffy,Finalização (triângulo de braço),Cage Warriors 39,27/11/2010,1,0:40, Cork,
Vitória,4-1, Connor Dillon,Nocaute Técnico (interrupção do córner),Chaos Fighting Championship 7,09/10/2010,1,4:22, Dublin,
Vitória,3-1, Stephen Bailey,Nocaute Técnico (socos),The Fight Before Christmas,12/12/2008,1,1:20, Dublin,
Derrota,2-1, Artemij Sitenkov,Finalização (chave de joelho),Cage of Truth,03/05/2008,1,0:30, Dublin,
Vitória,2-0, Mo Taylor,Nocaute Técnico (socos),Cage Rage - Contenders,03/05/2008,1,1:38, Dublin,
Vitória,1-0, Gary Morris,Nocaute Técnico (socos),Cage of Truth,09/03/2008,2,0:50, Dublin,
