Res.,Cartel,Oponente,Método,Evento,Data,Round,Tempo,Local,Notas
Vitória,28-0, Dustin Poirier,Finalização (mata leão),UFC 242: Khabib vs. Poirier,07/09/2019,3,2:06, Abu Dhabi,Defendeu e unificou o Cinturão Peso Leve do UFC; Performance da Noite.
Vitória,27-0, Conor McGregor,Finalização (mata leão),UFC 229: Khabib vs. McGregor,06/10/2018,4,3:03," Las Vegas, Nevada",Defendeu o Cinturão Peso Leve do UFC; Foi suspenso por 9 meses pela confusão generalizada pós luta.
Vitória,26-0, Al Iaquinta,Decisão (unânime),UFC 223: Khabib vs. Iaquinta,07/04/2018,5,5:00," Brooklyn, Nova Iorque",Ganhou o Cinturão Peso Leve Vago do UFC; Al substituiu Holloway com 1 dia de antecedência; Quebrou o recorde de mais rounds ganhos de maneira consecutiva no UFC (32).
Vitória,25-0, Edson Barboza,Decisão (unânime),UFC 219: Cyborg vs. Holm,30/12/2017,3,5:00," Las Vegas, Nevada",Performance da Noite.
Vitória,24-0, Michael Johnson,Finalização (kimura),UFC 205: Alvarez vs. McGregor,12/11/2016,3,2:31," Nova Iorque, Nova Iorque",
Vitória,23-0, Darrell Horcher,Nocaute Técnico (socos),UFC on Fox: Teixeira vs. Evans,16/04/2016,2,3:38," Tampa, Flórida",Luta em Peso Casado (72 kg).
Vitória,22-0, Rafael dos Anjos,Decisão (unânime),UFC on Fox: Werdum vs. Browne,19/04/2014,3,5:00," Orlando, Flórida",
Vitória,21-0, Pat Healy,Decisão (unânime),UFC 165: Jones vs. Gustafsson,21/09/2013,3,5:00," Toronto, Ontário",
Vitória,20-0, Abel Trujillo,Decisão (unânime),UFC 160: Velasquez vs. Silva II,25/05/2013,3,5:00," Las Vegas, Nevada",Khabib não bateu o peso; Luta em Peso Casado (71 kg).
Vitória,19-0, Thiago Tavares,Nocaute Técnico (socos e cotoveladas),UFC on FX: Belfort vs. Bisping,19/01/2013,1,1:55, São Paulo,
Vitória,18-0, Gleison Tibau,Decisão (unânime),UFC 148: Silva vs. Sonnen II,07/07/2012,3,5:00," Las Vegas, Nevada",
Vitória,17-0, Kamal Shalorus,Finalização (mata leão),UFC on FX: Guillard vs. Miller,20/01/2012,3,2:08," Nashville, Tennessee",Estreia no UFC. Estreia no Peso Leve.
Vitória,16-0, Arymarcel Santos,Nocaute Técnico (socos),ProFC 36: Battle on the Caucas,22/10/2011,1,3:33, Khasavyurt,
Vitória,15-0, Vadim Sandulitsky,Finalização (triângulo),ProFC / GM Fight: Ukraine Cup 3,15/09/2011,1,3:01, Odessa,
Vitória,14-0, Khamiz Mamedov,Finalização (triângulo),ProFC 30: Battle on Don,05/08/2011,1,3:15, Rostov do Don,
Vitória,13-0, Kadzhik Abadzhyan,Finalização (triângulo),ProFC: Union Nation Cup Final,02/07/2011,1,4:28, Rostov do Don,
Vitória,12-0, Ashot Shahinyan,Nocaute (socos),ProFC: Union Nation Cup 15,05/05/2011,1,2:18, Rostov do Don,
Vitória,11-0, Said Khalilov,Finalização (kimura),ProFC: Union Nation Cup 14,09/04/2011,1,3:16, Rostov do Don,
Vitória,10-0, Alexander Agafonov,Nocaute Técnico (interrupção do córner),M-1 Selection Ukraine 2010: The Finals,17/02/2011,2,5:00, Kiev,
Vitória,9-0, Vitaliy Ostrovskiy,Nocaute Técnico (socos),M-1 Selection Ukraine 2010: Clash of the Titans,18/09/2010,1,4:06, Kiev,
Vitória,8-0, Oleg Bagov,Decisão (unânime),Golden Fist Russia,10/06/2010,2,5:00, Moscou,
Vitória,7-0, Shahbulat Shamhalaev,Finalização (chave de braço),M-1 Challenge  2009: Selections 9,03/11/2009,1,4:36, São Petersburgo,Venceu o Torneio do M-1 Selection.
Vitória,6-0, Eldar Eldarov,Nocaute Técnico (socos),Tsumada Fighting Championship 3,08/08/2009,2,2:44, Agvali,
Vitória,5-0, Said Akhmed,Nocaute Técnico (socos),Tsumada Fighting Championship 3,08/08/2009,1,2:05, Agvali,
Vitória,4-0, Shamil Abdulkerimov,Decisão (unânime),Pankration Atrium Cup,11/10/2008,2,5:00, Moscou,
Vitória,3-0, Ramazan Kurbanismailov,Decisão (unânime),Pankration Atrium Cup,11/10/2008,2,5:00, Moscou,
Vitória,2-0, Magomed Magomedov,Decisão (unânime),Pankration Atrium Cup,11/10/2008,2,5:00, Moscou,
Vitória,1-0, Vusal Bayramov,Finalização (triângulo),CSFU: Champions League,13/09/2008,1,2:20, Poltava,
