Res.,Cartel,Oponente,Método,Evento,Data,Round,Tempo,Local,Notas
Vitória,11–1 (1), Angela Hill,Decisão (unânime),UFC 238: Cejudo vs. Moraes,08/06/2019,3,5:00," Chicago, Illinois",
Vitória,10–1 (1), Syuri Kondo,Decisão (unânime),UFC Fight Night: Blaydes vs. Ngannou 2,24/11/2018,3,5:00, Beijing,
Vitória,9–1 (1), Viviane Pereira,Decisão (unânime),UFC Fight Night: Cowboy vs. Edwards,23/06/2018,3,5:00, Kallang,
Vitória,8–1 (1), Kailin Curran,Decisão (unânime),UFC Fight Night: Bisping vs. Gastelum,25/11/2017,3,5:00, Shanghai,
NC,7–1 (1), Emi Fujino,Sem Resultado (choque acidental),Road Fighting Championship 34,19/11/2016,1,2:48, Shijiazhuang,Choque de cabeça acidental.
Vitória,7–1, Seo Hee Lim,Nocaute técnico (chute rodado e socos),Road Fighting Championship 30,16/04/2016,1,3:28, Beijing,
Vitória,6–1, Ye Hyun Nam,Decisão (unânime),Road Fighting Championship 27,26/12/2015,2,5:00, Shanghai,
Vitória,5–1, Bayarmaa Munkhgerel,Nocaute (soco),WKF: Zhong Wu Fight Night,30/10/2015,1,N/A, Beijing,
Vitória,4–1, Dolores Meek,Nocaute técnico (socos),URCC 26,15/07/2015,1,3:25," Pampang, Filipinas",
Vitória,3–1, Xiaoying Wang,Nocaute técnico (socos),Xian Sports University: Ultimate Wrestle,30/10/2010,2,0:29, Guangzhou,
Derrota,2–1, Karina Hallinan,Finalização (mata-leão),Martial Combat 10,16/09/2010,1,3:29, Sentosa,
Vitória,2–0, Gina Iniong,Decisão (unânime),Martial Combat 6,15/07/2010,3,5:00, Sentosa,
Vitória,1–0, Jin Tang,Nocaute técnico (socos),Xian Sports University: Ultimate Wrestle,21/11/2009,1,0:29, Guangzhou,
