,Nome,Ranking,Vitoria,Derrota,Empate,Altura,Peso,Idade,Data de início,Envergadura,Envergadura da perna
0,Claudia Gadelha,#6,18,4,0,162.56,52.15,31,16.07.14,161.29,81.28
1,Conor McGregor,#4,22,4,0,175.26,65.75,31,06.04.13,187.96,101.6
2,Dominick Reyes,#1,12,1,0,193.04,92.97,30,26.06.17,195.58,110.49
3,Hakeem Dawodu,-,11,0,1,172.72,65.75,28,17.03.18,186.69,102.87
4,Israel Adesanya,Champion,19,0,0,193.04,83.9,30,11.02.18,203.2,113.03
5,Jan Blachowicz,#3,26,8,0,187.96,97.95,37,04.10.14,198.12,111.76
6,Kai Kara-France,#7,21,8,0,162.56,56.68,27,02.12.18,175.26,93.98
7,Khabib Nurmagomedov,Champion,28,0,0,177.8,70.29,31,21.01.12,177.8,101.6
8,Paulo Costa,#2,13,0,0,185.42,83.9,28,12.03.17,182.88,100.33
9,Yan Xiaonan,#10,12,1,0,165.1,52.15,30,25.11.17,160.02,93.98
10,Zubaira Tukhugov,-,19,4,1,172.72,65.75,29,15.02.14,172.72,97.79
