Res.,Cartel,Oponente,Método,Evento,Data,Round,Tempo,Local,Notas
Derrota,12-1, Jon Jones,Decisão (unânime),UFC 247: Jones vs. Reyes,08/02/2020,5,5:00," Houston, Texas",Pelo Cinturão Meio Pesado do UFC.
Vitória,12-0, Chris Weidman,Nocaute (socos),UFC on ESPN: Reyes vs. Weidman,18/10/2019,1,1:43," Boston, Massachusetts",Performance da Noite.
Vitória,11-0, Volkan Oezdemir,Decisão (dividida),UFC Fight Night: Till vs. Masvidal,16/03/2019,3,5:00, Londres,
Vitória,10-0, Ovince St. Preux,Decisão (unânime),UFC 229: Khabib vs. McGregor,06/10/2018,3,5:00," Las Vegas, Nevada",
Vitória,9-0, Jared Cannonier,Nocaute Técnico (socos),UFC Fight Night: Maia vs. Usman,19/05/2018,1,2:55, Santiago,
Vitória,8-0, Jeremy Kimball,Finalização (mata leão),UFC 218: Holloway vs. Aldo II,02/12/2017,1,3:39," Detroit, Michigan",
Vitória,7-0, Joachim Christensen,Nocaute Técnico (socos),UFC Fight Night: Chiesa vs. Lee,25/06/2017,1,0:29," Oklahoma City, Oklahoma",Estreia no UFC; Performance da Noite.
Vitória,6-0, Jordan Powell,Nocaute (chute na cabeça),LFA 13,02/06/2017,1,0:53," Burbank, Califórnia",
Vitória,5-0, Marcus Govan,Nocaute (chute na cabeça),Hoosier Fight Club 32,11/02/2017,1,0:27," Michigan City, Indiana",
Vitória,4-0, Tyler Smith,Nocaute Técnico (socos),King of the Cage: Martial Law,18/09/2016,1,1:35," Ontario, Califórnia",
Vitória,3-0, Kelly Gray,Decisão (unânime),King of the Cage: Sinister Intentions,17/10/2015,3,5:00," Las Vegas, Nevada",
Vitória,2-0, Jessie Glass,Finalização (guilhotina),Gladiator Challenge: Carnage,03/04/2015,1,0:55," Rancho Mirage, Califórnia",
Vitória,1-0, Jose Rivas Jr.,Nocaute Técnico (socos),King of the Cage: Fisticuffs,04/12/2014,1,3:23," Highland, Califórnia",Estreia no MMA. Estreia nos Meios Pesados.
