Res.,Cartel,Oponente,Método,Evento,Data,Round,Tempo,Local,Notas
Vitória,26-8, Corey Anderson,Nocaute (soco),UFC Fight Night: Anderson vs. Błachowicz 2,15/02/2020,1,3:08," Rio Rancho, New Mexico",Performance da Noite.
Vitória,25-8, Ronaldo Souza,Decisão (dividida),UFC Fight Night: Błachowicz vs. Jacaré,16/11/2019,5,5:00, São Paulo,
Vitória,24-8, Luke Rockhold,Nocaute (soco),UFC 239: Jones vs. Santos,06/07/2019,2,1:39," Las Vegas, Nevada",Performance da Noite.
Derrota,23-8, Thiago Santos,Nocaute Técnico (socos),UFC Fight Night: Blachowicz vs. Santos,23/02/2019,3,0:39, Praga,
Vitória,23-7, Nikita Krylov,Finalização (estrangulamento d'arce),UFC Fight Night: Hunt vs. Oliynyk,15/09/2018,2,2:41, Moscovo,Performance da Noite.
Vitória,22-7, Jimi Manuwa,Decisão (unânime),UFC Fight Night: Werdum vs. Volkov,17/03/2018,3,5:00, Londres,Luta da Noite.
Vitória,21-7, Jared Cannonier,Decisão (unânime),UFC on Fox: Lawler vs. dos Anjos,16/12/2017,3,5:00," Winnipeg, Manitoba",
Vitória,20-7, Devin Clark,Finalização (mata leão em pé),UFC Fight Night: Cerrone vs. Till,21/10/2017,2,3:02, Gdańsk,Performance da Noite.
Derrota,19-7, Patrick Cummins,Decisão (majoritária),UFC 210: Cormier vs. Johnson II,09/04/2016,3,5:00," Buffalo, New York",
Derrota,19-6, Alexander Gustafsson,Decisão (unânime),UFC Fight Night: Arlovski vs. Barnett,03/09/2016,3,5:00, Hamburgo,
Vitória,19-5, Igor Pokrajac,Decisão (unânime),UFC Fight Night: Rothwell vs. dos Santos,10/04/2016,3,5:00, Zagreb,
Derrota,18-5, Corey Anderson,Decisão (unânime),UFC 191: Johnson vs. Dodson II,05/09/2015,3,5:00," Las Vegas, Nevada",
Derrota,18-4, Jimi Manuwa,Decisão (unânime),UFC Fight Night: Gonzaga vs. Cro Cop II,11/04/2015,3,5:00, Cracóvia,
Vitória,18-3, Ilir Latifi,Nocaute Técnico (chute no corpo e socos),UFC Fight Night: Nelson vs. Story,04/10/2014,1,3:02, Estocolmo,Estreia no UFC.
Vitória,17-3, Goran Reljic,Decisão (unânime),KSW 22,16/03/2013,3,5:00, Varsóvia,Defendeu o Título Meio-Pesado do KSW; Luta da Noite.
Vitória,16-3, Houston Alexander,Decisão (unânime),KSW 20,15/09/2012,3,5:00, Gdansk,Defendeu o Título Meio Pesado do KSW.
Vitória,15-3, Mario Miranda,Decisão (unânime),KSW 18,25/02/2012,3,5:00, Płock,Luta da Noite.
Vitória,14-3, Rameau Thierry Sokoudjou,Decisão (unânime),KSW 17,26/11/2011,3,5:00, Łódź,Ganhou o Título Meio Pesado do KSW; Luta da Noite.
Vitória,13-3, Toni Valtonen,Finalização (mata leão),KSW 16,21/05/2011,2,1:23, Gdańsk,
Derrota,12–3, Rameau Thierry Sokoudjou,Nocaute Técnico (chute nas pernas),KSW 15,19/03/2011,2,5:00, Varsóvia,Pelo Título Meio-Pesado Vago do KSW.
Vitória,12-2, Daniel Tabera,Nocaute Técnico (socos),KSW 14,24/09/2010,2,4:20, Łódź,Final do Torneio de Meio Pesados do KSW 2010.
Vitória,11-2, Nikolai Onikienko,Finalização (mata leão),World Absolute FC,24/06/2010,2,N/A, Cheboksary,
Vtória,10-2, Wojciech Orłowski,Finalização (mata leão),KSW 13,07/05/2010,1,1:37, Katowice,Semifinal do Torneio de Meio-Pesados do KSW 2010.
Vitória,9-2, Julio Brutus,Nocaute (chute na cabeça e soco),KSW 13,07/05/2010,1,3:40, Katowice,Quartas de Final do Torneio de Meio Pesados do KSW 2010.
Vitória,8-2, Maro Perak,Finalização (mata leão),KSW 10,12/12/2008,2,1:51, Varsóvia,
Vitória,7-2, Christian M'Pumbu,Finalização (chave de braço),KSW: Extra,13/09/2008,2,3:12, Dąbrowa Górnicza,
Vitória,6-2, Aziz Karaoglu,Finalização (chave de braço),KSW 9,09/05/2008,1,4:13, Varsóvia,Final do Torneio de Meio-Pesados do KSW 2008.
Vitória,5-2, Antoni Chmielewski,Finalização (chave de braço),KSW 9,09/05/2008,2,2:54, Varsóvia,Semifinal do Torneio de Meio-Pesados do KSW 2008.
Vitória,4-2, Martin Zawada,Decisão (unânime),KSW 9,09/05/2008,2,5:00, Varsóvia,Quartas de Final do Torneio de Meio-Pesados do KSW 2008.
Derrota,3-2, Andre Fyeet,Finalização (kimura),KSW 8,10/11/2007,1,1:57, Varsóvia,
Vitória,3-1, Daniel Dowda,Nocaute Técnico (chute e socos),KSW: Elimination,15/09/2007,1,1:35, Wrocław,Final do Torneio de Meio-Pesados do KSW 2007.
Vitória,2-1, Paweł Gasiński,Nocaute Técnico (socos),KSW: Elimination,15/09/2007,1,2:36, Wrocław,Semifinal do Torneio de Meio-Pesados do KSW 2007.
Vitória,1-1, Sebastian Olchawa,Decisão (unânime),KSW: Elimination,15/09/2007,2,5:00, Wrocław,Quartas de Final do Torneio de Meio-Pesados do KSW 2007.
Derrota,0-1, Marcin Krysztofiak,Decisão (unânime),FCP 3: Khalidov vs. Troeng,25/02/2007,2,5:00, Poznan,
