Res.,Cartel,Oponente,Método,Evento,Data,Round,Tempo,Local,Notas
Vitória,13-0, Yoel Romero,Decisão (unânime),UFC 241: Cormier vs. Miocic 2,17/08/2019,3,5:00," Anaheim, Califórnia",Luta da Noite.
Vitória,12-0, Uriah Hall,Nocaute Técnico (socos),UFC 226: Miocic vs. Cormier,07/07/2018,2,2:38," Las Vegas, Nevada",Performance da Noite.
Vitória,11-0, Johny Hendricks,Nocaute Técnico (socos),UFC 217: Bisping vs. St.Pierre,04/11/2017,2,1:23," Nova Iorque, Nova Iorque",
Vitória,10-0, Oluwale Bamgbose,Nocaute Técnico (socos),UFC 212: Aldo vs. Holloway,03/06/2017,2,1:06, Rio de Janeiro,
Vitória,9-0, Garreth McLellan,Nocaute Técnico (socos),UFC Fight Night: Belfort vs. Gastelum,11/03/2017,1,1:17, Fortaleza,Estreia no UFC; Performance da Noite.
Vitória,8-0, Adriano Silverio Balby de Araujo,Nocaute (soco),Jungle Fight 90,03/09/2016,1,3:25, São Paulo,Defendeu o Cinturão Peso Médio do Jungle Fight.
Vitória,7-0, Eduardo Ramon,Finalização (mata leão),Jungle Fight 87,21/05/2016,1,2:40, São Paulo,Ganhou o Cinturão Peso Médio Vago do Jungle Fight.
Vitória,6-0, Bruno Assis,Nocaute Técnico (socos),Jungle Fight 84,05/12/2015,1,1:17, Rio de Janeiro,
Vitória,5-0, Wagner Silva Gomes,Nocaute Técnico (socos),Face to Face 11,24/04/2015,1,4:37, Rio de Janeiro,Ganhou o Cinturão Peso Médio Vago do Face to Face.
Vitória,4-0, Gerson da Silva Conceição,Nocaute Técnico (interrupção médica),Face to Face 9,19/12/2014,1,5:00, Rio de Janeiro,
Vitória,3-0, Fabio Moreira,Nocaute Técnico (socos),BH Fight - MMA Grand Prix,01/11/2013,1,1:26, Belo Horizonte,
Vitória,2-0, Ademilson Borges Duarte,Nocaute Técnico (socos),MMA Total Combat - Teófilo Otoni,15/06/2013,1,0:32, Teófilo Otoni,
Vitória,1-0, Teo Esteves,Nocaute Técnico (socos),MMA Total Combat - Santa Luzia,15/06/2013,1,2:08, Santa Luzia,
